City,Cloudiness (%),Humidity (%),Latitude,Max Temperature (F),Wind Speed (mph)
Mar del Plata,44,50,-46.43,57.14,24.94
Baykit,56,73,61.68,-3.48,3.74
Durango,75,40,37.28,37.4,14.99
Paducah,90,80,37.08,35.6,8.28
Egvekinot,44,71,66.32,0.22,2.57
Iquitos,75,88,-3.75,77.0,1.72
Boyolangu,8,63,-8.09,84.91,7.87
Deputatskiy,44,67,69.3,-16.12,10.45
Mercedes,24,80,-29.18,71.63,17.94
Matara,0,100,5.95,77.53,4.81
Tasiilaq,8,73,65.61,19.4,13.87
Umm Lajj,0,100,25.02,62.41,5.86
Tiznit,0,95,29.7,47.11,3.29
Waupun,1,72,43.63,14.0,9.1
Kuching,75,70,1.56,87.8,4.7
Vila Velha,75,78,-3.71,80.6,10.29
Satun,40,74,6.62,84.2,13.87
Chivolo,12,66,10.03,80.14,3.36
Szabadbattyan,0,88,47.12,41.17,19.24
Beringovskiy,0,100,63.05,-6.49,5.64
Thompson,20,66,55.74,-31.01,4.7
Batticaloa,56,100,7.71,79.19,4.92
Sao Jose da Coroa Grande,92,100,-8.9,72.67,2.73
Nanortalik,0,98,60.14,27.76,7.43
Vestmanna,92,100,62.16,39.2,6.93
Kidal,0,31,18.44,51.7,13.2
Corner Brook,75,85,48.95,26.6,6.93
Ginir,0,69,7.14,41.89,3.74
Fano,0,100,43.84,32.0,5.82
Gorontalo,12,60,0.54,88.51,2.24
Gambo,90,85,48.78,19.4,8.05
Awbari,56,99,26.59,40.04,6.6
Bilma,20,53,18.69,51.88,16.49
Forio,0,61,40.73,50.0,4.41
Waddan,64,89,29.16,38.24,6.87
Kabo,0,72,7.69,68.62,2.84
Sciacca,20,100,37.51,46.4,2.24
Aztec,90,67,36.82,37.4,4.59
Tomigusuku,20,69,26.18,78.8,17.22
Ambon,40,59,-3.7,91.4,6.93
Antalaha,76,100,-14.9,75.64,0.89
Solnechnyy,32,77,50.72,-7.62,3.62
Petropavlovsk-Kamchatskiy,40,66,53.05,10.4,6.71
Macusani,88,100,-14.07,52.51,1.05
Lewistown,75,73,40.39,23.0,7.16
Pacific Grove,1,81,36.62,51.8,3.36
Nechi,36,94,5.59,65.2,2.01
Torbay,90,92,47.66,23.0,3.36
Porto Novo,75,68,17.02,69.8,24.16
Rawson,20,36,-43.3,55.34,11.45
Yakeshi,68,86,49.28,0.89,7.27
Novikovo,76,85,51.15,24.43,13.42
Glubokiy,64,89,48.52,21.64,7.31
Jalu,0,91,29.03,51.7,9.33
Vakhrushev,8,90,48.99,13.58,3.4
Havoysund,76,79,71.0,28.4,5.82
Tairua,88,60,-37.02,70.01,6.64
Buraydah,0,50,26.33,51.8,6.93
Aljezur,12,100,37.31,54.89,10.18
Ahuimanu,90,64,21.44,75.2,5.82
Ust-Tsilma,88,90,65.44,18.76,3.24
Maragogi,92,100,-9.01,72.67,2.73
Sao Bartolomeu de Messines,40,82,37.26,59.0,17.22
Beisfjord,90,100,68.38,32.0,4.7
Nevelsk,75,92,46.67,15.8,16.93
Tiksi,76,89,71.64,-14.91,6.93
Ixtapa,40,100,20.71,73.4,5.82
Qingdao,24,36,36.09,44.6,11.18
Seoul,90,86,37.57,41.0,5.82
Jilib,0,95,0.49,70.01,6.38
Sisimiut,68,100,66.94,3.46,1.61
Namibe,76,100,-15.19,68.48,7.09
Waipawa,56,59,-39.94,71.09,9.33
Burnie,20,100,-41.05,60.83,20.69
Princeton,1,85,38.36,33.8,3.36
Hasaki,75,70,35.73,46.4,4.7
Cabo San Lucas,40,77,22.89,69.8,4.7
Charyshskoye,0,53,51.4,-0.46,2.57
Broome,0,53,-17.97,95.0,11.41
Khandyga,24,0,62.65,-53.88,2.84
Jiwani,0,90,25.05,56.74,3.13
Lola,0,59,7.8,59.98,5.75
Balkanabat,68,83,39.51,42.56,4.85
Camopi,76,96,3.17,74.29,2.28
Chingirlau,68,73,51.09,10.57,6.04
Aklavik,20,66,68.22,12.2,8.05
Nantucket,90,100,41.28,51.8,13.87
Sabha,0,85,27.03,34.96,6.53
Bandar-e Lengeh,0,100,26.56,62.6,4.7
Batagay,44,0,67.65,-44.29,3.91
Lincoln,24,53,-43.64,73.4,16.11
Mabaruma,92,86,8.2,78.34,7.31
Plettenberg Bay,0,100,-34.05,62.14,3.24
Meulaboh,56,100,4.14,80.59,3.74
Adrar,0,51,27.87,39.2,10.29
Pathein,0,69,16.78,75.23,8.61
Kyabe,24,28,9.45,72.85,9.62
Mukhen,76,68,48.19,20.02,3.36
Diffa,0,49,13.32,65.02,13.98
Barcelona,56,92,12.87,82.66,10.56
Ahipara,100,100,-35.17,64.93,11.9
Cortez,90,43,37.35,33.8,4.7
Bubaque,0,100,11.28,74.02,19.39
Craig,20,72,40.52,28.4,8.05
Kirakira,32,100,-10.46,84.14,2.39
Mitake,1,43,35.79,50.0,3.36
Corbu,0,92,44.41,24.8,11.41
Save,0,82,8.04,62.18,2.84
Kinsale,90,100,51.71,51.8,12.75
Guiratinga,88,98,-16.35,69.79,3.06
Buala,56,80,-8.15,86.39,4.03
Aykhal,36,0,65.95,-37.32,2.84
Dongsheng,0,35,29.72,54.71,17.9
Mayo,5,74,63.59,-27.41,2.24
Abong Mbang,80,85,3.98,71.32,3.02
Nabire,44,82,-3.36,78.83,2.8
Wokha,0,73,26.1,65.74,2.01
Ornskoldsvik,0,79,63.29,24.8,14.99
Port Shepstone,92,100,-30.74,68.98,9.44
Waingapu,68,99,-9.65,80.86,2.73
Chapais,90,84,49.78,5.0,4.7
Rafai,0,75,4.95,68.84,5.03
San Policarpo,80,100,12.18,78.88,4.63
Albert,90,98,50.0,46.4,13.87
Santo Angelo,88,98,-28.3,69.88,9.44
Mitu,12,96,1.2,73.93,2.01
Lamu,0,97,-2.27,77.17,11.68
Lethem,48,62,3.38,81.67,14.92
Novyy Yarychiv,90,93,49.9,41.0,13.42
Makokou,32,96,0.56,72.4,2.24
Marco,92,90,-3.12,77.44,8.66
Maldonado,0,63,-34.91,62.6,11.41
Sangar,20,0,63.92,-48.84,1.61
Husavik,90,92,66.04,28.4,6.93
Ulladulla,40,54,-35.36,82.4,9.17
Miles City,90,72,46.41,12.2,14.99
Xingcheng,24,48,40.62,25.87,16.15
Kichera,36,68,55.93,-3.21,1.79
Cockburn Town,12,100,21.46,78.34,16.15
Kurchum,20,56,48.57,-6.04,2.57
Fomboni,8,100,-12.28,83.74,14.36
Surovikino,68,93,48.61,27.26,6.76
Filotion,88,49,37.05,46.4,28.86
Yuncheng,0,51,35.03,35.68,6.82
Phetchaburi,0,51,13.1,84.2,9.17
Xining,0,36,36.62,25.24,3.06
Honningsvag,44,100,70.98,21.73,6.82
Kalmunai,8,92,7.42,77.03,6.38
Senanga,24,96,-16.1,66.68,7.43
Jijiga,0,79,9.35,29.02,2.62
Isangel,20,100,-19.55,77.98,13.98
Ketchikan,1,92,55.34,33.8,3.36
Siocon,36,99,11.03,83.33,10.33
Lazaro Cardenas,5,59,28.39,33.8,4.7
Les Escoumins,92,74,48.35,11.69,2.73
Yutsa,90,100,43.96,30.2,11.18
Victoria,75,83,-4.62,80.6,2.24
Vanino,88,86,53.93,20.96,16.33
Pemba,8,100,-12.97,83.74,18.72
Etchoropo,0,55,26.77,64.39,12.86
Salalah,0,23,17.01,77.0,19.46
Panzhihua,0,58,26.59,45.89,3.06
Katunino,90,100,64.39,23.0,8.95
Saint-Pierre,92,100,46.77,35.54,24.2
Kattivakkam,75,74,13.22,80.6,5.82
Price,1,73,39.6,32.0,14.99
Poum,0,100,-20.23,78.11,12.46
Guadalupe y Calvo,80,78,26.09,52.06,1.34
Nazarovo,76,75,56.01,11.38,3.51
Solsona,40,83,18.1,80.6,9.17
Tromso,40,86,69.65,30.2,19.46
Colombia,80,95,3.38,67.27,1.12
Phek,0,85,25.7,59.17,2.35
Tansen,8,57,27.87,61.19,3.29
Bambous Virieux,75,78,-20.34,80.6,2.24
Ishinomaki,75,61,38.42,48.2,3.36
Katsuura,75,71,33.93,50.0,9.17
Mbaiki,8,91,3.87,70.64,2.28
Huaihua,0,56,27.56,53.09,3.8
Erenhot,0,60,43.65,8.14,7.27
Strzelce Opolskie,75,81,50.52,46.4,21.92
Praia da Vitoria,40,77,38.73,64.4,18.68
Atar,68,39,20.52,46.34,8.05
Acari,24,90,-15.44,55.43,1.79
Elizabeth City,90,88,36.3,66.2,8.05
Voljevac,75,93,43.88,35.6,1.12
Fairbanks,1,83,64.84,-9.41,10.56
Abu Kamal,56,59,34.45,60.25,12.91
Lixourion,0,100,38.2,50.89,4.29
Yumen,0,50,40.29,14.93,2.84
Zernograd,40,92,46.84,30.2,6.71
Payakumbuh,8,79,-0.23,81.49,3.02
Pfarrkirchen,88,95,48.43,36.98,11.68
Segovia,64,90,7.08,71.59,1.79
Rayagada,0,83,19.17,64.39,2.8
Ouallam,0,32,14.32,61.51,11.34
Batangafo,0,80,7.3,66.91,2.84
Union,44,100,12.9,79.46,4.36
Talnakh,80,69,69.49,-5.32,11.86
Prainha,20,88,-1.8,77.98,4.14
Sarakhs,0,44,36.54,59.0,13.87
Stefan cel Mare,75,75,46.98,41.0,9.17
Dok Kham Tai,0,62,19.16,69.61,4.03
Claveria,32,98,8.61,80.09,2.28
Gogosari,32,81,43.87,28.21,9.66
Labelle,48,85,46.28,13.36,5.03
Murgab,0,61,37.5,50.0,11.41
Saint-Joseph,88,58,-21.37,82.4,4.7
Viedma,0,38,-40.81,54.13,10.63
Naron,0,93,43.52,42.8,8.77
Carutapera,48,90,-1.2,78.79,7.31
Amalapuram,12,77,16.58,74.29,6.42
Puerto Rico,44,49,2.94,82.43,5.53
Zlate Moravce,92,75,48.39,46.4,12.75
Westport,92,97,53.8,51.43,24.2
Moron,0,64,47.38,0.71,6.38
Wanning,0,100,18.8,72.58,25.28
Cherskiy,56,35,68.75,-24.18,10.33
Dicabisagan,80,100,17.08,75.59,5.86
San Rafael del Sur,20,88,11.85,73.4,4.7
Mugur-Aksy,24,52,50.38,-5.1,2.01
Kisangani,0,98,0.52,72.49,4.36
Senov,0,87,49.79,44.6,23.04
Sitrah,0,55,26.15,64.4,4.7
Batagay-Alyta,32,39,67.8,-27.37,3.36
Bandarbeyla,0,100,9.49,76.09,25.72
Nioki,68,98,-2.72,73.16,2.06
Solano,0,94,0.7,75.1,2.51
Palaia Fokaia,75,80,37.72,42.8,6.93
Portland,32,36,-33.35,84.64,6.82
Swift Current,90,78,50.29,10.4,18.34
Simbahan,68,100,6.3,82.84,17.0
Vila Franca do Campo,40,77,37.72,62.6,6.93
Sambava,88,100,-14.27,76.49,0.56
Hofn,92,100,64.25,34.96,17.11
Saldanha,12,82,-33.01,55.4,5.82
Jackson,90,93,35.61,39.2,6.93
Te Anau,12,47,-45.41,67.04,13.87
Georgetown,56,94,6.8,73.4,4.7
Vitkov,0,87,49.77,44.6,23.04
Puerto Baquerizo Moreno,24,100,-0.9,71.95,9.06
Shimminato,75,97,36.78,57.2,11.41
Benguela,20,100,-12.58,71.18,0.78
Tonekabon,90,87,36.82,53.6,4.7
Narsaq,0,58,60.91,24.8,1.12
Chitrakonda,0,78,18.12,65.33,3.29
Lakatoro,24,81,-16.11,82.84,7.27
Bandundu,80,98,-3.32,72.31,2.84
Makakilo City,1,64,21.35,75.2,5.82
Georgetown,68,100,-7.93,74.56,14.7
Arrecife,0,67,28.96,62.6,9.17
Suileng,12,79,47.25,8.41,9.89
Tornio,90,86,61.12,26.6,13.87
Kindu,92,100,-2.95,67.31,2.73
Phan Thiet,36,78,10.93,82.93,5.53
Geraldton,90,84,49.72,1.4,4.7
Namatanai,88,93,-3.66,85.58,7.38
Vorontsovka,76,87,50.61,23.21,10.33
Santa Marta,20,58,11.24,82.4,6.93
Port Keats,0,88,-14.25,89.36,6.53
Aktau,90,100,43.65,30.2,11.18
Chapada dos Guimaraes,0,83,-15.46,78.8,5.82
Barahan,76,100,13.01,80.05,6.04
Linjiang,64,77,41.81,24.25,3.29
Terra Santa,76,79,-2.1,79.78,1.23
Virginia Beach,75,77,36.85,68.0,10.29
Shingu,75,59,33.72,60.8,10.29
Namwala,12,97,-15.75,68.03,5.64
San Vicente,88,95,14.11,81.94,15.1
Arrifes,40,77,37.77,62.6,6.93
Raudeberg,92,86,61.99,39.2,18.34
Dohrighat,24,91,26.27,59.39,3.06
Victor Harbor,75,33,-35.55,73.4,17.22
Les Cayes,56,100,18.19,79.51,10.07
Kabompo,92,92,-13.6,66.1,7.43
Srednekolymsk,64,75,67.46,-11.76,8.1
Snasa,88,81,64.25,29.24,8.77
Nishihara,1,43,35.74,50.0,3.36
Carballo,0,93,43.21,42.8,2.39
Evensk,32,100,61.92,-15.99,6.08
Cavite,20,91,10.69,82.16,7.31
Thayetmyo,0,76,19.32,70.73,7.83
Coquimbo,0,87,-29.95,57.2,2.24
Erzin,56,69,50.26,-4.87,1.28
Anito,64,95,12.45,83.69,13.09
Maniitsoq,64,100,65.42,19.21,3.8
San Jeronimo,20,44,29.37,57.2,1.28
Nago,20,69,26.59,78.8,17.22
Saint Lawrence,75,76,36.06,51.8,4.7
Sarajevo,75,93,43.85,35.6,1.12
Northam,0,29,-31.65,87.8,11.41
Hoopstad,0,89,-27.83,57.37,3.29
Leh,76,67,34.16,-15.22,0.72
Punta Gorda,75,94,16.1,71.6,6.38
Stribro,90,87,49.75,42.8,10.29
Ust-Nera,44,0,64.57,-52.35,2.35
Ati,0,30,13.21,68.84,13.13
Svetlaya,8,100,46.54,23.35,4.07
Quarteira,40,82,37.07,59.0,17.22
Lubyany,75,92,56.04,19.4,17.9
Lodja,32,97,-3.52,67.63,2.28
Mazamet,90,75,43.49,46.4,10.29
Dubai,90,100,25.27,68.0,4.7
Damghan,24,82,36.17,34.01,2.28
Sur,0,100,22.57,69.34,2.39
Naryan-Mar,80,91,67.67,20.92,6.53
Pombas,32,100,17.15,71.95,22.75
Dostpur,32,90,26.27,58.81,3.02
Qixia,36,74,37.31,40.45,10.18
Kinablangan,12,100,7.69,82.3,4.36
Mahina,75,79,-17.51,84.2,11.41
Iwaki,75,75,37.05,46.4,5.82
Moyale,0,41,3.52,63.04,7.87
Grand-Santi,88,99,4.27,73.39,2.8
Lorengau,88,100,-2.02,83.11,5.26
Kasempa,80,100,-13.46,65.78,6.26
Tura,8,37,64.27,-25.21,2.35
Landskrona,75,76,55.87,50.0,20.8
Ryotsu,0,61,38.08,50.0,8.05
Iskateley,80,90,67.68,21.14,6.26
Okha,0,83,53.59,-5.1,8.05
Labuhan,36,74,-2.54,84.55,4.41
Jinxiang,0,37,35.07,43.87,16.15
Xinzhi,0,32,36.5,27.31,10.63
Zabid,0,53,14.2,23.17,3.13
Byron Bay,0,65,-28.65,82.4,17.22
Deer Lake,75,85,49.18,21.2,6.93
Machhlishahr,36,83,25.69,58.99,2.91
Cascais,20,93,38.7,44.6,4.7
Quibor,75,83,9.93,71.6,8.05
Saint-Philippe,88,58,-21.36,82.4,4.7
Guanare,0,62,9.04,78.61,8.55
Coahuayana,8,72,18.62,62.86,2.01
Nova Olimpia,24,94,-14.8,74.24,7.16
Yangambi,8,94,0.77,72.13,4.14
Malayal,20,70,7.21,87.8,9.17
Otaru,68,97,43.18,36.22,8.28
Zeya,0,75,53.74,-18.19,2.28
Soller,75,100,39.77,42.8,2.73
San Isidro,24,97,11.41,82.43,9.84
Sitka,32,78,37.17,27.67,14.32
Crotone,0,100,39.09,56.02,25.72
Fare,44,95,-16.7,84.37,14.58
Buchanan,0,100,5.88,76.9,5.41
Tura,76,97,25.52,62.23,3.4
Mnogovershinnyy,0,60,53.94,-2.71,5.08
Alyangula,12,94,-13.85,87.38,10.67
Yining,0,42,29.04,49.49,6.04
Maues,24,97,-3.38,75.73,2.91
Kati,0,29,12.75,60.8,9.17
Kamarion,75,42,36.8,48.2,29.97
Tautira,75,79,-17.73,84.2,11.41
Khilok,76,64,51.36,6.61,9.4
De-Kastri,68,100,51.48,8.36,6.31
Tignere,8,50,7.37,60.88,7.54
College,1,83,64.86,-9.41,10.56
Teknaf,0,76,20.86,72.31,3.29
Jizan,0,77,16.89,68.0,5.82
Wajir,0,68,1.75,68.0,3.91
Myanaung,0,68,18.28,74.47,12.68
Mbandaka,48,99,0.05,73.75,3.74
Gander,90,85,48.95,19.4,8.05
Mamboma,0,76,7.84,64.66,2.84
Mongoumba,0,95,3.64,72.08,3.4
Ilulissat,68,67,69.22,19.4,10.29
Poli,8,55,8.48,63.53,4.59
Jeremie,80,100,18.65,75.28,3.4
Tiarei,75,79,-17.53,84.2,11.41
Verenchanka,90,100,48.54,42.8,8.95
Dali,0,90,25.6,47.29,2.51
Tashara,80,87,55.52,15.16,6.82
Zhangye,0,39,38.94,17.95,8.39
Impfondo,0,97,1.64,72.89,3.24
Comodoro Rivadavia,0,76,-45.87,59.0,27.51
Tymovskoye,68,70,50.85,6.38,2.84
Zhigansk,20,0,66.77,-40.47,4.29
Silopi,92,70,37.25,51.11,7.05
Rokiskis,64,97,55.97,35.41,17.34
Sungaipenuh,12,80,-2.08,75.14,1.01
Sobolevo,92,99,54.43,37.88,16.22
Gloversville,20,74,43.05,35.6,24.16
Bang Rakam,20,57,16.75,78.8,4.7
Burgeo,92,100,47.61,35.5,26.73
Barkly West,0,36,-28.54,62.6,2.24
Basoko,0,94,1.23,71.95,6.6
Zaysan,0,53,47.47,-12.3,2.35
Amursk,36,74,50.23,-3.07,3.74
El Paraiso,24,82,13.86,67.36,6.26
Samarai,64,97,-10.62,83.92,10.78
Goundi,0,31,9.36,72.13,10.89
Phatthalung,40,100,7.62,77.0,8.05
Kitami,75,86,43.8,32.0,4.7
Petrvald,0,87,49.83,44.6,23.04
Cayenne,92,94,4.94,75.2,4.7
Ylivieska,88,80,64.07,23.66,10.18
Yarada,64,100,17.65,75.23,10.45
Laiyang,36,74,36.98,40.45,10.18
Sibu,75,79,2.29,84.2,6.93
Muros,0,100,42.77,39.2,1.12
Muhos,92,85,64.81,17.6,10.29
Gandorhun,0,53,8.44,63.49,5.03
Bembereke,0,42,10.23,63.49,7.83
Ternate,24,100,0.8,84.82,4.63
Ponta Delgada,40,77,37.73,62.6,6.93
Gazojak,88,69,41.19,36.31,11.12
Phrae,0,64,18.14,71.6,5.82
Dolores,0,60,-36.31,54.89,9.33
Mahebourg,75,78,-20.41,80.6,2.24
Barinas,0,68,8.64,77.26,7.43
Rock Sound,12,100,24.9,76.27,9.62
Seymchan,36,53,62.93,-32.19,2.8
Maceio,92,100,-9.67,72.22,5.14
Wladyslawowo,75,93,54.79,46.4,35.57
Chicama,75,82,-7.84,68.0,8.05
Tuy Hoa,100,98,13.08,74.51,21.85
Sanchez,92,95,19.23,76.13,8.66
Port Elizabeth,0,82,-33.92,62.6,2.24
Kyra,0,57,49.58,8.5,7.09
Kamariotissa,40,52,40.48,42.8,5.82
Faanui,20,100,-16.48,83.38,13.8
Jiexiu,0,44,37.02,28.84,7.16
Port Hardy,20,47,50.7,35.6,18.34
Eureka,1,87,40.8,46.4,2.51
Suphan Buri,0,50,14.47,84.01,13.42
Wyndham,12,34,-46.33,79.46,19.95
Huarmey,0,92,-10.07,60.83,3.13
Khash,0,71,28.22,32.48,2.13
San Pedro de Macoris,20,88,18.46,73.4,4.7
Noumea,90,51,-22.28,84.2,13.87
Tondela,0,93,40.52,37.4,1.12
Chunhuhub,0,73,19.59,76.72,4.03
Roald,92,86,62.58,41.0,19.46
Kedougou,24,43,12.56,59.39,5.93
Kolyvan,75,84,55.31,6.8,8.95
Turukhansk,64,68,65.8,2.38,17.38
Geraldton,0,45,-28.77,84.2,12.75
Mayfield,90,80,36.74,35.6,9.06
Karratha,8,35,-20.74,99.26,10.89
Ewa Beach,1,64,21.32,75.2,5.82
Padang,64,100,-0.92,78.97,3.62
Kamenka,76,90,53.19,20.92,9.95
Badiraguato,75,60,25.36,71.6,1.01
Analipsis,75,61,35.32,48.2,31.09
